,run,tag,step,value
54755,Hopper/Baseline-15skills-seed0,Cumulative runtime,264,541.208252
54756,Hopper/Baseline-15skills-seed0,Cumulative runtime,265,544.3764038
54757,Hopper/Baseline-15skills-seed0,Cumulative runtime,266,549.7243042
54758,Hopper/Baseline-15skills-seed0,Cumulative runtime,267,550.867981
54759,Hopper/Baseline-15skills-seed0,Cumulative runtime,268,554.8570557
54760,Hopper/Baseline-15skills-seed0,Cumulative runtime,269,564.3477783
54761,Hopper/Baseline-15skills-seed0,Cumulative runtime,270,567.6578369
54762,Hopper/Baseline-15skills-seed0,Cumulative runtime,271,569.3776855
54763,Hopper/Baseline-15skills-seed0,Cumulative runtime,272,572.4122925
54764,Hopper/Baseline-15skills-seed0,Cumulative runtime,273,597.5991821
54765,Hopper/Baseline-15skills-seed0,Cumulative runtime,274,601.3809204
54766,Hopper/Baseline-15skills-seed0,Cumulative runtime,275,604.5175781
54767,Hopper/Baseline-15skills-seed0,Cumulative runtime,276,608.3508911
54768,Hopper/Baseline-15skills-seed0,Cumulative runtime,277,611.9662476
54769,Hopper/Baseline-15skills-seed0,Cumulative runtime,278,616.2307739
54770,Hopper/Baseline-15skills-seed0,Cumulative runtime,279,619.4769287
54771,Hopper/Baseline-15skills-seed0,Cumulative runtime,280,622.9077759
54772,Hopper/Baseline-15skills-seed0,Cumulative runtime,281,627.9927368
54773,Hopper/Baseline-15skills-seed0,Cumulative runtime,282,630.8688354
54774,Hopper/Baseline-15skills-seed0,Cumulative runtime,283,634.6904297
54775,Hopper/Baseline-15skills-seed0,Cumulative runtime,284,641.6936035
54776,Hopper/Baseline-15skills-seed0,Cumulative runtime,285,647.2172852
54777,Hopper/Baseline-15skills-seed0,Cumulative runtime,286,649.7573242
54778,Hopper/Baseline-15skills-seed0,Cumulative runtime,287,655.1798096
54779,Hopper/Baseline-15skills-seed0,Cumulative runtime,288,659.0586548
54780,Hopper/Baseline-15skills-seed0,Cumulative runtime,289,662.4128418
54781,Hopper/Baseline-15skills-seed0,Cumulative runtime,290,665.9691162
54782,Hopper/Baseline-15skills-seed0,Cumulative runtime,291,672.0217285
54783,Hopper/Baseline-15skills-seed0,Cumulative runtime,292,675.1379395
54784,Hopper/Baseline-15skills-seed0,Cumulative runtime,293,677.6395874
54785,Hopper/Baseline-15skills-seed0,Cumulative runtime,294,681.164978
54786,Hopper/Baseline-15skills-seed0,Cumulative runtime,295,684.8497925
54787,Hopper/Baseline-15skills-seed0,Cumulative runtime,296,688.7895508
54788,Hopper/Baseline-15skills-seed0,Cumulative runtime,297,690.9838867
54789,Hopper/Baseline-15skills-seed0,Cumulative runtime,298,693.8858643
54790,Hopper/Baseline-15skills-seed0,Cumulative runtime,299,697.3978271
54791,Hopper/Baseline-15skills-seed0,Cumulative runtime,300,702.277771
54792,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,1,0
54793,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,2,0
54794,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,3,0
54795,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,4,0
54796,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,5,0
54797,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,6,0
54798,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,7,0
54799,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,8,0
54800,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,9,0
54801,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,10,0
54802,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,11,0
54803,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,12,0
54804,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,13,0
54805,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,14,0
54806,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,15,0
54807,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,16,0
54808,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,17,0
54809,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,18,0
54810,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,19,0
54811,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,20,0
54812,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,21,0
54813,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,22,0
54814,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,23,0
54815,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,24,0
54816,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,25,0
54817,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,26,-2100.099121
54818,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,27,1528.900513
54819,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,28,1450.12085
54820,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,29,1978.950439
54821,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,30,2546.20752
54822,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,31,2324.633301
54823,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,32,1490.867676
54824,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,33,1649.279053
54825,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,34,1903.468506
54826,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,35,1394.904541
54827,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,36,2752.37207
54828,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,37,1543.541138
54829,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,38,2541.833496
54830,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,39,1639.343018
54831,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,40,2196.381592
54832,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,41,5465.985352
54833,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,42,1946.301758
54834,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,43,1721.22229
54835,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,44,1803.601318
54836,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,45,2042.9552
54837,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,46,1829.894287
54838,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,47,1923.845581
54839,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,48,2786.624756
54840,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,49,2050.57373
54841,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,50,1976.959473
54842,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,51,2934.126953
54843,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,52,4567.962891
54844,Hopper/Baseline-15skills-seed0,Diverse1 episode diversity reward,53,2996.297852
