Wall time,Step,k=1,k=2,k=2 w/ decay
1650340038,265,-0.334110051,-0.506234288,-0.3015483
1650340044,266,-0.334446013,-0.506359637,-0.3012534
1650340045,267,-0.334873229,-0.506489396,-0.3009052
1650340047,268,-0.335266948,-0.506510079,-0.3004219
1650340052,269,-0.335725129,-0.50655359,-0.3000234
1650340052,270,-0.336154461,-0.506537914,-0.299595
1650340063,271,-0.336602867,-0.506492972,-0.2992107
1650340076,272,-0.336930901,-0.506382525,-0.2988153
1650340083,273,-0.337153882,-0.506186604,-0.2984374
1650340085,274,-0.337176532,-0.506031156,-0.2981648
1650340090,275,-0.337355882,-0.505874455,-0.2978278
1650340095,276,-0.337701559,-0.50574702,-0.2974578
1650340096,277,-0.33796072,-0.505728364,-0.2971066
1650340101,278,-0.33824423,-0.505713642,-0.296689
1650340108,279,-0.338419229,-0.505739212,-0.2962581
1650340139,280,-0.338489294,-0.505988002,-0.2962116
1650340168,281,-0.338379055,-0.506157279,-0.2960494
1650340171,282,-0.33820048,-0.506143808,-0.2958069
1650340186,283,-0.338096678,-0.506249189,-0.2957385
1650340188,284,-0.33801949,-0.506469905,-0.2955616
1650340219,285,-0.337914675,-0.5066908,-0.295327
1650340222,286,-0.33786881,-0.507063031,-0.2955662
1650340227,287,-0.338271886,-0.507626176,-0.2956623
1650340258,288,-0.338301182,-0.50819248,-0.2958701
1650340265,289,-0.338443726,-0.508717477,-0.2959998
1650340266,290,-0.338640332,-0.509411335,-0.2964112
1650340267,291,-0.338954359,-0.510168433,-0.2965787
1650340273,292,-0.339162737,-0.510716021,-0.29694
1650340278,293,-0.339453518,-0.511539996,-0.2972472
1650340288,294,-0.339651972,-0.512363672,-0.2974591
1650340293,295,-0.339894861,-0.513211489,-0.2976426
1650340322,296,-0.340379208,-0.51438725,-0.2978131
1650340353,297,-0.340906084,-0.515703678,-0.2980377
1650340358,298,-0.341322839,-0.51693815,-0.298173
1650340369,299,-0.342068017,-0.518243074,-0.2983477
